ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude_decimal_degrees,longitude_decimal_degrees
00A,heliport,Total Rf Heliport,11,NA,US,US-PA,Bensalem,00A,,00A,40.07080078,-74.93360138
00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,00AA,,00AA,38.704022,-101.473911
00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,00AK,,00AK,59.94919968,-151.6959991
00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,00AL,,00AL,34.8647995,-86.77030182
00AR,closed,Newport Hospital & Clinic Heliport,237,NA,US,US-AR,Newport,,,,35.6087,-91.254898
00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,00AS,,00AS,34.9428028,-97.8180194
00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ,34.30559921,-112.1650009
00CA,small_airport,Goldstone /Gts/ Airport,3038,NA,US,US-CA,Barstow,00CA,,00CA,35.3504982,-116.8880005
00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,00CL,,00CL,39.427188,-121.763427
00CN,heliport,Kitchen Creek Helibase Heliport,3350,NA,US,US-CA,Pine Valley,00CN,,00CN,32.7273736,-116.4597417
00CO,closed,Cass Field,4830,NA,US,US-CO,Briggsdale,,,,40.622202,-104.344002
00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,00FA,,00FA,28.64550018,-82.21900177
00FD,heliport,Ringhaver Heliport,25,NA,US,US-FL,Riverview,00FD,,00FD,28.84659958,-82.34539795
00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,00FL,,00FL,27.23089981,-80.96920013
00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,00GA,,00GA,33.76750183,-84.06829834
00GE,heliport,Caffrey Heliport,957,NA,US,US-GA,Hiram,00GE,,00GE,33.88420105,-84.73390198
00HI,heliport,Kaupulehu Heliport,43,NA,US,US-HI,Kailua-Kona,00HI,,00HI,19.832715,-155.980233
00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,00ID,,00ID,48.14530182,-116.2139969
00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,00IG,,00IG,39.724028,-101.395994
00II,heliport,Bailey Generation Station Heliport,600,NA,US,US-IN,Chesterton,00II,,00II,41.64450073,-87.12280273
00IL,small_airport,Hammer Airport,840,NA,US,US-IL,Polo,00IL,,00IL,41.97840118,-89.56040192
00IN,heliport,St Mary Medical Center Heliport,634,NA,US,US-IN,Hobart,00IN,,00IN,41.51139832,-87.26059723
00IS,small_airport,Hayenga's Cant Find Farms Airport,820,NA,US,US-IL,Kings,00IS,,00IS,40.02560043,-89.12290192
00KS,small_airport,Hayden Farm Airport,1100,NA,US,US-KS,Gardner,00KS,,00KS,38.72779846,-94.93049622
00KY,small_airport,Robbins Roost Airport,1265,NA,US,US-KY,Stanford,00KY,,00KY,37.40940094,-84.61969757
00LA,heliport,Shell Chemical East Site Heliport,15,NA,US,US-LA,Gonzales,00LA,,00LA,30.191944,-90.980833
00LL,heliport,Ac & R Components Heliport,600,NA,US,US-IL,Chatham,00LL,,00LL,39.66529846,-89.70559692
00LS,small_airport,Lejeune Airport,12,NA,US,US-LA,Esterwood,00LS,,00LS,30.13629913,-92.42939758
00MD,small_airport,Slater Field,45,NA,US,US-MD,Federalsburg,00MD,,00MD,38.75709915,-75.75379944
00MI,heliport,Dow Chemical Heliport,588,NA,US,US-MI,Ludington,00MI,,00MI,43.94940186,-86.41670227
00MN,small_airport,Battle Lake Municipal Airport,1365,NA,US,US-MN,Battle Lake,00MN,,00MN,46.29999924,-95.70030212
00MO,small_airport,Cooper Flying Service Airport,970,NA,US,US-MO,Alba,00MO,,00MO,37.20280075,-94.41239929
00MT,closed,Sands Ranch Airport,2600,NA,US,US-MT,Havre,,,,48.53721,-109.705492
00N,small_airport,Bucks Airport,105,NA,US,US-NJ,Bridgeton,00N,,00N,39.47320175,-75.18520355
00NC,small_airport,North Raleigh Airport,348,NA,US,US-NC,Louisburg,00NC,,00NC,36.08520126,-78.37139893
00NJ,heliport,Colgate-Piscataway Heliport,78,NA,US,US-NJ,New Brunswick,00NJ,,00NJ,40.52090073,-74.47460175
00NK,seaplane_base,Cliche Cove Seaplane Base,96,NA,US,US-NY,Beekmantown,00NK,,00NK,44.8118612,-73.3698057
00NY,small_airport,Weiss Airfield,1000,NA,US,US-NY,West Bloomfield,00NY,,00NY,42.90010071,-77.49970245
00OH,closed,Exit 3 Airport,785,NA,US,US-OH,Wauseon,,,,41.590476,-84.141583
00OI,heliport,Miami Valley Hospital Heliport,905,NA,US,US-OH,Dayton,00OI,,00OI,39.74530029,-84.18740082
00OK,small_airport,Gull Bay Landing Airport,960,NA,US,US-OK,Sandsprings,00OK,,00OK,36.198598,-96.217693
00OR,heliport,Steel Systems Heliport,195,NA,US,US-OR,Salem,00OR,,00OR,44.93289948,-123.1299973
00PA,heliport,R J D Heliport,402,NA,US,US-PA,Coatesville,00PA,,00PA,39.94889832,-75.74690247
00PN,small_airport,Ferrell Field,1301,NA,US,US-PA,Mercer,00PN,,00PN,41.2995,-80.211111
00PS,closed,Thomas Field,815,NA,US,US-PA,Loysville,,,,40.3778,-77.365303
00S,small_airport,Mc Kenzie Bridge State Airport,1620,NA,US,US-OR,Mc Kenzie Bridge,00S,,00S,44.18320084,-122.0889969
00SC,small_airport,Flying O Airport,150,NA,US,US-SC,Sumter,00SC,,00SC,34.00939941,-80.26719666
00SD,small_airport,Homan Field,1590,NA,US,US-SD,Gary,00SD,,00SD,44.809158,-96.498897
00TA,closed,SW Region FAA Heliport,598,NA,US,US-TX,Fort Worth,,,,32.8269,-97.305801
00TE,heliport,Tcjc-Northeast Campus Heliport,600,NA,US,US-TX,Fort Worth,00TE,,00TE,32.84759903,-97.1894989
00TN,small_airport,Ragsdale Road Airport,1100,NA,US,US-TN,Manchester,00TN,,00TN,35.51589966,-85.95359802
00TS,small_airport,Alpine Range Airport,670,NA,US,US-TX,Everman,00TS,,00TS,32.60760117,-97.24199677
00TX,closed,San Jacinto Methodist Hospital Heliport,19,NA,US,US-TX,Baytown,,,,29.7377,-94.980201
00UT,closed,Clear Creek Ranch Airport,6138,NA,US,US-UT,Kanab,,,,37.247799,-112.821998
00VA,small_airport,Vaughan Airport,551,NA,US,US-VA,Alton,00VA,,00VA,36.57600021,-78.9991684
00VI,small_airport,Groundhog Mountain Airport,2680,NA,US,US-VA,Hillsville,00VI,,00VI,36.66329956,-80.49949646
00W,small_airport,Lower Granite State Airport,719,NA,US,US-WA,Colfax,00W,,00W,46.67350006,-117.4430008
00WA,small_airport,Howell Airport,150,NA,US,US-WA,Longbranch,00WA,,00WA,47.17839813,-122.7720032
00WI,small_airport,Northern Lite Airport,860,NA,US,US-WI,Waupaca,00WI,,00WI,44.3042984,-89.05010223
00WN,small_airport,Hawks Run Airport,2900,NA,US,US-WA,Asotin,00WN,,00WN,46.25,-117.2490005
00WV,small_airport,Lazy J. Aerodrome,2060,NA,US,US-WV,Beverly,00WV,,00WV,38.82889938,-79.8660965
00WY,heliport,Mountain View Regional Hospital Heliport,5210,NA,US,US-WY,Casper,00WY,,00WY,42.840361,-106.224443
00XS,small_airport,L P Askew Farms Airport,3110,NA,US,US-TX,O'Donnell,00XS,,00XS,33.03340149,-101.9339981
01A,small_airport,Purkeypile Airport,1950,NA,US,US-AK,Purkeypile,01A,,01A,62.9435997,-152.2700043
