Configuration loaded
Connected to MongoDB: avtopia_devdb
WARNING: Could not create unique placeId index: {ok: 0.0, errmsg: Index build failed: 55ee6fc0-1a22-4f5a-9740-cdcfdbc7c706: Collection avtopia_devdb.avtopia_business ( 4a5df79e-dc57-44fb-a75c-5a7df823bcce ) :: caused by :: E11000 duplicate key error collection: avtopia_devdb.avtopia_business index: placeId_1 dup key: { placeId: null }, code: 11000, codeName: DuplicateKey, keyPattern: {placeId: 1}, keyValue: {placeId: null}, $clusterTime: {clusterTime: Timestamp(1777993066, 9), signature: {hash: BsonBinary(0345e3b2151cf164544e42dd2601fb696358dc64), keyId: 7598248908464062466}}, operationTime: Timestamp(1777993066, 9)}
Reconnected to MongoDB
Loaded 1057 cached geocode result(s) from assets/db_code lookups/charter_geocode_cache.json
Loaded 1974 charter operator entries from assets/charter_operators.json

Geocoding 1067 charters with no airport code...
Airport geocoding: 1026 assigned, 41 could not resolve.

Skipping 2 entries with no name.
  [~] UPD  "HARRIS AIRCRAFT SERVICES INC" | , 
  [~] UPD  "NORSE FLIGHT INC" | , 
  [~] UPD  "WISK OPERATIONS, LLC" | , 
  [~] UPD  "ACP JET CHARTERS INC." | HAGATNA, -
  [~] UPD  "BOHLKE, LLC" | KINGSHILL, -
  [~] UPD  "CHARTER FLIGHTS CARIBBEAN" | SAN JUAN, -
  [~] UPD  "EXPRESS CARRIERS INC" | ST. THOMAS, -
  [~] UPD  "FIRST CLASS AIR CHARTER LLC" | CAROLINA, -
  [~] UPD  "ISLAND BIRD, INC." | ST. THOMAS, -
  [~] UPD  "SPRING CITY JET, INC" | WAUKESHA, -
  [~] UPD  "STAR MARIANAS AIR INC" | WEST TINIAN INTERNATIO, -
  [~] UPD  "UP IN THE AIR LLC" | ST. THOMAS, -
  [~] UPD  "40 MILE AIR, LTD." | TOK, AK
  [~] UPD  "ACME PEST CONTROL, LLC" | PARKER LAKE, AK
  [~] UPD  "ADAM G. SHOLTON CO., LLC" | ANCHORAGE, AK
  [~] UPD  "ADVANCED PLACEMENT AVIATION LLC" | CHUGIAK, AK
  [~] UPD  "ADVENTURE AIRWAYS" | HOMER, AK
  [~] UPD  "AIR CARGO SOLUTIONS, INC" | KENAI, AK
  [~] UPD  "AIR MADURA LLC" | ANCHORAGE, AK
  [~] UPD  "AIRVENTURES ALASKA" | ANCHORAGE, AK
  [~] UPD  "ALASKA AIR TRANSIT" | ANCHORAGE, AK
  [~] UPD  "ALASKA BUSH AIR" | TALKEETNA, AK
  [~] UPD  "ALASKA BUSH CHARTERS LLC" | DILLINGHAM, AK
  [~] UPD  "ALASKA CENTRAL EXPRESS" | ANCHORAGE, AK
  [~] UPD  "ALASKA FLYING ADVENTURES LLC" | WASILLA, AK
  [~] UPD  "ALASKA FREEDOM AVIATION LLC" | ALEKNAGIK, AK
  [~] UPD  "ALASKA GUARDIAN ANGELS LLC" | WASILLA, AK
  [~] UPD  "ALASKA HELICOPTERS" | KIANA, AK
  [~] UPD  "ALASKA ISLAND AIR INC" | TOGIAK, AK
  [~] UPD  "ALASKA LAND EXPLORATION LLC" | FAIRBANKS, AK
  [~] UPD  "ALASKA MOUNTAIN TRANSPORT LLC" | SOLDOTNA, AK
  [~] UPD  "ALASKA SCENIC AIR LLC" | EAGLE RIVER, AK
  [~] UPD  "ALASKA SEAPLANE SERVICE, LLC" | JUNEAU, AK
  [~] UPD  "ALASKA SEAPLANES" | JUNEAU, AK
  [~] UPD  "ALASKA SKIES AIR TAXI, LLC" | ANCHORAGE, AK
  [~] UPD  "ALASKA ULTIMATE SAFARIS" | HOLY CROSS, AK
  [~] UPD  "ALASKA WEST AIR SERVICE, INC." | KENAI, AK
  [~] UPD  "ALASKA WEST AIR, INC" | NIKISKI, AK
  [~] UPD  "ALASKA WILDERNESS OUTFITTING CO." | CORDOVA, AK
  [~] UPD  "ALASKA WILDERNESS OUTFITTING COMPANY, LLC" | CORDOVA, AK
  [~] UPD  "ALASKAN OUTBACK AVIATION INC" | WASILLA, AK
  [~] UPD  "ALBERTS AIR ALASKA LLC" | PALMER, AK
  [~] UPD  "ALPENGLOW AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "ALPHA AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "ALPINE AIR ALASKA" | ANCHORAGE, AK
  [~] UPD  "AMAROK AIR, LLC" | YAKUTAT, AK
  [~] UPD  "AMBLER AIR, LLC" | FAIRBANKS, AK
  [~] UPD  "ANCHORAGE AERO" | ANCHORAGE, AK
  [~] UPD  "ANDREW AIRWAYS" | KODIAK, AK
  [~] UPD  "ANG AIR SERVICE, LLC" | NABESNA, AK
  [~] UPD  "ANGEL AVIATION INC." | ANCHORAGE, AK
  [~] UPD  "ANTLER AVIATION AND WILDLIFE SERVICE LLC" | DILLINGHAM, AK
  [~] UPD  "ARCTIC AIR TRANSPORT, LLC" | ANCHORAGE, AK
  [~] UPD  "ARCTIC AIR, INC" | WILLOW, AK
  [~] UPD  "ARCTIC ALASKA HELICOPTERS, INC." | WASILLA, AK
  [~] UPD  "ARCTIC BACKCOUNTRY FLYING SERVICE LLC" | KOTZEBUE, AK
  [~] UPD  "ARROWHEAD OUTFITTERS LLC" | WASILLA, AK
  [~] UPD  "ARTIC'S AIR ACADEMY LLC" | PALMER, AK
  [~] UPD  "ASHER AIR, LLC." | WASILLA, AK
  [~] UPD  "ATKINS, RAY" | CANTWELL, AK
  [~] UPD  "AURORA AVIATION SERVICES INC" | DELTA JUNCTION, AK
  [~] UPD  "AVALANCHE ENTERPRISES LLC" | WASILLA, AK
  [~] UPD  "AVIATION EXPEDITIONS LLC" | FAIRBANKS, AK
  [~] UPD  "BACKCOUNTRY AIR LLC" | WASILLA, AK
  [~] UPD  "BAKER AIR LLC" | ANCHORAGE, AK
  [~] UPD  "BAL, INC." | WILLOW, AK
  [~] UPD  "BALD MOUNTAIN AIR SERVICE" | HOMER, AK
  [~] UPD  "BARANAUTICA AIR SERVICE, LLC" | PORT ALEXANDER, AK
  [~] UPD  "BAY AIR ALASKA LLC" | DILLINGHAM, AK
  [~] UPD  "BAY AIR INC" | DILLINGHAM, AK
  [~] UPD  "BELUGA AIR LLC" | HOMER, AK
  [~] UPD  "BERING AIR, INC." | NOME, AK
  [~] UPD  "BERYL AIR, LLC" | HOMER, AK
  [~] UPD  "BETTLES AIR SERVICE" | FAIRBANKS, AK
  [~] UPD  "BIG RIVER VENTURES LLC" | HUSLIA, AK
  [~] UPD  "BIRCHWOOD AIR TAXI LLC" | ANCHORAGE, AK
  [~] UPD  "BIRCHWOOD AIRCRAFT SERVICES" | BETTLES, AK
  [~] UPD  "BOREAL AIR, LLC" | KING SALMON, AK
  [~] UPD  "BRANCH RIVER AIR SERVICE" | KING SALMON, AK
  [~] UPD  "BREEZY BEAR AIR LLC" | TALKEETNA, AK
  [~] UPD  "BRISTOL BAY AIR SERVICE INC" | DILLINGHAM, AK
  [~] UPD  "BROOKS FLYERS LLC." | TRAPPER CREEK, AK
  [~] UPD  "BUSH AIR ALASKA LLC" | ANCHORAGE, AK
  [~] UPD  "BUSH AIR CARGO INC" | PALMER, AK
  [~] UPD  "BUSH WINGS AIR SERVICE INC" | TALKEETNA, AK
  [~] UPD  "CALIBER AIR, LLC" | DILLINGHAM, AK
  [~] UPD  "CAMBIER, TROY LOUIS" | FAIRBANKS, AK
  [~] UPD  "CHORDLINE AVIATION, LLC" | SEWARD, AK
  [~] UPD  "CKZ VENTURES LLC" | ANCHORAGE, AK
  [~] UPD  "CLEARWATER AIR INC" | ANCHORAGE, AK
  [~] UPD  "COASTAL AIR, LLC" | KING SALMON, AK
  [~] UPD  "COASTAL HELICOPTERS, INC." | JUNEAU, AK
  [~] UPD  "COOK INLET AVIATION, LLC" | HOMER, AK
  [~] UPD  "COPPER VALLEY AIR SERVICE" | GULKANA, AK
  [~] UPD  "CORDOVA AIR SERVICE, INC" | CORDOVA, AK
  [~] UPD  "COUPCHIAK AVIATION INC" | ANCHORAGE, AK
  [~] UPD  "COYOTE AIR LLC" | FAIRBANKS, AK
  [~] UPD  "COYOTE AIR SERVICE" | FAIRBANKS, AK
  [~] UPD  "CRAIG AIR, INC." | WASILLA, AK
  [~] UPD  "CROW CREEK AIR SERVICE LLC" | ANCHORAGE, AK
  [~] UPD  "DARDEN, DONALD E" | DILLINGHAM, AK
  [~] UPD  "DAVIDSON AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "DECKLOAD AVIATION, LLC" | KODIAK, AK
  [~] UPD  "DEHAAN AVIATION LLC" | BETHEL, AK
  [~] UPD  "DENA'INA AIR TAXI" | ANCHORAGE, AK
  [~] UPD  "DENALI AIR" | MCKINLEY PARK, AK
  [~] UPD  "DESERT AIR TRANSPORT, INC." | ANCHORAGE, AK
  [~] UPD  "DFS ALASKA LLC." | EAGLE RIVER, AK
  [~] UPD  "EAGLE RIVER AIR LLC" | ANCHORAGE, AK
  [~] UPD  "EARTH CENTER ADVENTURES, INC" | HAINES, AK
  [~] UPD  "EGLI AIR HAUL" | KING SALMON, AK
  [~] UPD  "EIDER AIR SERVICE LLC" | COLD BAY, AK
  [~] UPD  "EKLUTNA AIR, LLC" | WASILLA, AK
  [~] UPD  "ELLISON AIR INC" | ANCHORAGE, AK
  [~] UPD  "EMERALD AIR SERVICE" | HOMER, AK
  [~] UPD  "EQUINOX AIR LLC" | THORNE BAY, AK
  [~] UPD  "EXECUTIVE EXPRESS AVIATION, LLC" | ANCHORAGE, AK
  [~] UPD  "FAMILY AIR TOURS" | KETCHIKAN, AK
  [~] UPD  "FEJES GUIDE SERVICE" | ANCHORAGE, AK
  [~] UPD  "FEJES GUIDE SERVICE LIMITED" | ANCHORAGE, AK
  [~] UPD  "FILKILL, DAVID B" | WILLOW, AK
  [~] UPD  "FLIGHT SAFETY ALASKA INC." | ANCHORAGE, AK
  [~] UPD  "FLY DENALI" | FAIRBANKS, AK
  [~] UPD  "FLY8MA LLC" | BIG LAKE, AK
  [~] UPD  "FOX AIR" | BETHEL, AK
  [~] UPD  "FOX AIRWAYS LLC" | WASILLA, AK
  [~] UPD  "FOX RIVER AIR, LLC" | HOMER, AK
  [~] UPD  "FRESH WATER ADVENTURES INC" | DILLINGHAM, AK
  [~] UPD  "FULL CURL AVIATION LLC" | WASILLA, AK
  [~] UPD  "GLACIER AIR, LLC" | WASILLA, AK
  [~] UPD  "GOAT MOUNTAIN AIR" | GIRDWOOD, AK
  [~] UPD  "GOD'S COUNTRY AVIATION LLC" | TRAPPER CREEK, AK
  [~] UPD  "GOLDEN EAGLE OUTFITTERS" | DELTA JUNCTION, AK
  [~] UPD  "GRANT AVIATION, INC." | BETHEL, AK
  [~] UPD  "GRASSHOPPER AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "HAWK MOUNTAIN AIR LLC" | PALMER, AK
  [~] UPD  "HELI ALASKA INC" | WASILLA, AK
  [~] UPD  "HELICOPTER AIR ALASKA, LLC" | KETCHIKAN, AK
  [~] UPD  "HERMENS HELICOPTERS INC" | BETHEL, AK
  [~] UPD  "HESPERUS AIR SERVICE LLC" | WASILLA, AK
  [~] UPD  "HILINE AVIATION LLC" | KENAI, AK
  [~] UPD  "HOMER AIR, INC" | HOMER, AK
  [~] UPD  "HUDSON AIR LLC" | ANCHORAGE, AK
  [~] UPD  "HUSKY AIR SERVICES LLC" | CHUGIAK, AK
  [~] UPD  "ICE AGE LLC" | ILIAMNA, AK
  [~] UPD  "ICY STRAIT AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "IDITAROD AIR LLC" | SITKA, AK
  [~] UPD  "ILIAMNA AIR TAXI, INC." | ILIAMNA, AK
  [~] UPD  "ISLAND AIR EXPRESS" | KETCHIKAN, AK
  [~] UPD  "ISLAND WINGS AIR SERVICE LLC" | KETCHIKAN, AK
  [~] UPD  "J BEAR TOURS LLC" | HOMER, AK
  [~] UPD  "JUNIPOGO LLC" | CHUGIAK, AK
  [~] UPD  "K BAY AIR LLC" | HOMER, AK
  [~] UPD  "KACHEMAK AIR SERVICE, LLC" | HOMER, AK
  [~] UPD  "KANTISHNA AIR TAXI INC" | DENALI PARK, AK
  [~] UPD  "KATMAI AIR" | KING SALMON, AK
  [~] UPD  "KAVIK AVIATION SERVICES, LLC" | PALMER, AK
  [~] UPD  "KELLER, MATTHEW CHARLES" | WASILLA, AK
  [~] UPD  "KENAI AVIATION OPERATIONS LLC" | KENAI, AK
  [~] UPD  "KENNEDY, JARED WAYNE" | CORDOVA, AK
  [~] UPD  "KING AIR INC" | NAKNEK, AK
  [~] UPD  "KINGFISHER AIR, INC" | KODIAK, AK
  [~] UPD  "KINGFISHER AVIATION, INC." | KODIAK, AK
  [~] UPD  "KIRST, FOREST" | FAIRBANKS, AK
  [~] UPD  "KODIAK AIR SERVICE" | KODIAK, AK
  [~] UPD  "LAKE AND PENINSULA AIRLINES" | ANCHORAGE, AK
  [~] UPD  "LAKE CLARK AIR INC" | PORT ALSWORTH, AK
  [~] UPD  "LAND AND SEA AVIATION ALASKA LLC" | ANCHORAGE, AK
  [~] UPD  "LEE, GERALD R." | GLENNALLEN, AK
  [~] UPD  "LEE'S SEA AIR" | KIANA, AK
  [~] UPD  "LEGENDS LLC" | ANCHORAGE, AK
  [~] UPD  "LIT AIR, LLC" | ANCHORAGE, AK
  [~] UPD  "LITZEN GUIDE SERVICE, INC" | KENAI, AK
  [~] UPD  "MACK AIR, LLC" | ANCHORAGE, AK
  [~] UPD  "MARATHON HELICOPTERS, LLC" | SEWARD, AK
  [~] UPD  "MARITIME HELICOPTERS, INC." | HOMER, AK
  [~] UPD  "MCCARTHY AIR LLC" | MCCARTHY, AK
  [~] UPD  "MCMAHAN GUIDE AND FLYING SERVICE" | GULKANA, AK
  [~] UPD  "MEEKIN, MICHAEL" | PALMER, AK
  [~] UPD  "MIDNIGHT AIR LLC" | ANCHORAGE, AK
  [~] UPD  "MILLER, JONATHAN LUKE" | ANCHORAGE, AK
  [~] UPD  "MINTA, INC." | PILOT POINT, AK
  [~] UPD  "MISSIONARY AVIATION REPAIR CENTER" | SOLDOTNA, AK
  [~] UPD  "MISTY AIR LLC" | FAIRBANKS, AK
  [~] UPD  "MISTY FJORDS AIR" | KLAWOCK, AK
  [~] UPD  "MISTY FJORDS AIR AND OUTFITTING, INC" | KETCHIKAN, AK
  [~] UPD  "MOUNTAIN FLYING SERVICE" | HAINES, AK
  [~] UPD  "MULCHATNA AIR TAXI LLC" | DILLINGHAM, AK
  [~] UPD  "N2 ALASKA LLC" | TALKEETNA, AK
  [~] UPD  "NATRON AIR" | SOLDOTNA, AK
  [~] UPD  "NAVAIR INC" | FAIRBANKS, AK
  [~] UPD  "NEACOLA MTN AIR LLC" | WASILLA, AK
  [~] UPD  "NEITZ AVIATION INC" | HOLY CROSS, AK
  [~] UPD  "NORDIC AIR" | PETERSBURG, AK
  [~] UPD  "NORTH POLE HELICOPTERS, LLC" | VALDEZ, AK
  [~] UPD  "NORTH RIVER AIR, LLC." | KODIAK, AK
  [~] UPD  "NORTHERN PIONEER HELICOPTERS LLC" | BIG LAKE, AK
  [~] UPD  "NORTHSTAR AERO, LLC" | WASILLA, AK
  [~] UPD  "NORTHSTAR TREKKING, LLC" | JUNEAU, AK
  [~] UPD  "NORTHWIND AVIATION" | HOMER, AK
  [~] UPD  "NUNAK AIR TAXI LLC" | CHUGIAK, AK
  [~] UPD  "ONEY, ANTHONY KING" | WASILLA, AK
  [~] UPD  "ORCA AIR CHARTERS LLC" | CORDOVA, AK
  [~] UPD  "OSPREY AIR INC" | CHUGIAK, AK
  [~] UPD  "OTTER AIR LLC" | ANCHORAGE, AK
  [~] UPD  "PAKLOOK AIR, INC" | BETHEL, AK
  [~] UPD  "PATHFINDER AVIATION" | ANCHORAGE, AK
  [~] UPD  "PETERSBURG FLYING SERVICE, LLC" | PETERSBURG, AK
  [~] UPD  "PIRATE AIRWORKS" | KETCHIKAN, AK
  [~] UPD  "POLLUX AVIATION LTD" | WASILLA, AK
  [~] UPD  "PRECISION AIR ALASKA" | COLD BAY, AK
  [~] UPD  "PRECISION AIR INC" | ANCHORAGE, AK
  [~] UPD  "PRECISION PLUS INC" | CHUGIAK, AK
  [~] UPD  "PTARMIGAN AIR LLC" | BETHEL, AK
  [~] UPD  "QAVVIK AIR, LLC" | FAIRBANKS, AK
  [~] UPD  "QUICKSILVER AIR INC" | FAIRBANKS, AK
  [~] UPD  "RAINBOW RIVER LODGE AVIATION " | ILIAMNA, AK
  [~] UPD  "RAM AVIATION, LLC." | PALMER, AK
