Agency Name,DSGN_CODE,DBA,Cert_No,Address Line 1,Address Line 2,Address Line 3,City,State/Province,Country ,Postal Code,Agency Phone Number,Agency Email,Accountable Manager,Accountable Manager Phone Number,Accountable Manager Email,Liaison,Liaison Phone Number,Liaison Email,Rating - Accessory,Rating - Airframe,Rating - Instrument,Rating - Limited,Rating - Powerplant,Rating - Propeller,Rating - Radio,Bilateral Agreements,Update_Date,
"1 VISION AVIATION, PLLC",1OVR,DBA 1 VISION AVIATION,1OVR169C,2500 KEOKUK AVE,,,SIOUX CITY,IA,UNITED STATES,51111,7125748727,,"SPONDER, JIMMY",5158991997,,"MERRITT, MANDY",7125748727,mmerritt@1vision.aero,Limited,Limited,Limited,,Limited,,Limited,TCCA (Canada),3/9/2026,
"1 VISION GENERAL AVIATION, LLC",4V4R,,4V4R473D,2500 KEOKUK AVENUE,,,SIOUX CITY,IA,UNITED STATES,51111,7125748727,,"HARBECK, CHRIS",7123897559,charbeck@1vision.aero,"HARBECK, CHRISTOPHER",7125748727,charbeck@1vision.aero,,Limited,Limited,,Limited,,"Class 1, Class 2, Class 3",,3/9/2026,
2EXCEL ENGINEERING LIMITED,LH6Y,,LH6Y959J,LASHAM AIRFIELD,,,LASHAM,ENG,UNITED KINGDOM,GU34 5SP,+44 1256 8251,,"NORTON, CHRIS",,chris.norton@2excel.uk,"DAWS, KEVIN",,kevin.daws@2excel.uk,Limited,Limited,,NonDestructiveTst,,,,,3/9/2026,
"2K AVIATION, LLC",2KVR,,2KVR626E,4241 BIRDSONG BLVD.,,,LUTZ,FL,UNITED STATES,33559,,,"KRAACK, STEPHEN",,steve@2k-aviation.com,,,,,Limited,Limited,,,,Limited,,3/9/2026,
3 D TECH INC,63DR,,63DR713B,"600 FOUR ROD ROAD, BUILDING 1",,,BERLIN,CT,UNITED STATES,06037,,,"JAOUEN, DOMINIQUE",8608298998,,"PASTORKOVA, VIOLET",8608298998,vpastorkova@3dtech-inc.com,Limited,Limited,,,Limited,,,,3/9/2026,
3M COMPANY,LD2R,,LD2R974K,690 BAYFIELD STREET,,,ST. PAUL,MN,UNITED STATES,55107,,,"OLSON, KEN",,,"OLSON, KEN",6515920248,k-olson@mmm.com,Limited,Limited,Limited,,Limited,,Limited,,3/9/2026,
3S SUPPORT INC,35IR,,35IR417D,6470 NARCOOSSEE ROAD,SUITE B,,ORLANDO,FL,UNITED STATES,32822,4074960161,m.smith@3ssupport.com,"SMITH, MARK A.",4074960161,,,,,Limited,,,NonDestructiveTst,,,,EASA,3/9/2026,m.smith@3ssupport.com
5 STAR AVIATION AG,45SY,,45SY123D,"5-STAR AVIATION AG, GENERAL AVIATIO",BIMENZAELTENSTRASSE 75B,,KLOTEN,,SWITZERLAND,CH8302,,,"WOGENSTAHL, MICHEL",,,MICHEL WOGENSTAHL,,michel.w@5staraviation.ch,,Limited,,,,,,,3/9/2026,
5B AVIATION LLC,FBAR,,FBAR256E,2700 S 13TH ST.,,,DUNCAN,OK,UNITED STATES,73533,5802529896,caleb.roberts@fivebravoaviation.com,"ROBERTS, CALEB",5806069881,caleb.roberts@fivebravoaviation.com,CALEB ROBERTS,5802529896,caleb.roberts@fivebravoaviation.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,caleb.roberts@fivebravoaviation.com
7 AIR CARGO LLC,KJCR,,KJCR351E,9905 NW 17TH STREET,SUITE 105,,DORAL,FL,UNITED STATES,33172,7864399695,djimenez@xtreme.aero,"JIMENEZ, DICXON",,,DICSON JIMENEZ,,djimenez@xtreme.aero,,Limited,,,Limited,,,EASA,3/9/2026,djimenez@xtreme.aero
7 GENERATIONS AEROSPACE,7G3R,,7G3R286E,10870 NW 138TH STREET BAY 2,,,HIALEAH GARDENS,FL,UNITED STATES,33018,,,"CUADRA, DAVID",,,DAVID  CUADRA,9548815863,david@7gen.aero,Limited,,,,,,,,3/9/2026,
10 TANKER AIR CARRIER LLC,ZTRR,,ZTRR624L,2503 CLARK CARR LOOP SE,SUITE A,,ALBUQUERQUE,NM,UNITED STATES,87106,,,"TUTTLE, BRAD J.",,,"TUTTLE, BRAD J.",7602468288,btuttle@10tanker.com,,Limited,,,Limited,,,,3/9/2026,
21 AERO LIMITED,AROY,,AROY277E,UNIT H1TAYLOR BUSINESS PARK,,,WARRINGTON,ENG,UNITED KINGDOM,WA3 6BL,440192571,dave@21aero.uk,"HICKSON, DAVID",4401925710,dave@21aero.uk,PETER BARRETT,440192571,peter@21aero.uk,,Limited,Limited,,,,Limited,,3/9/2026,dave@21aero.uk
25 REPAIR CENTRE LIMITED,25RY,,25RY339C,CHICHESTER BUSINESS PARK,CITY FIELDS WAY,,TANGMERE,ENG,UNITED KINGDOM,PO20 2FT,+44 1243 75554,kareng@lekitech.com,"MIETKE, PETER OSTERGAARD",+45 40899552,petero@lekiaviation.com,,,,Limited,,,,,,,,3/9/2026,kareng@lekitech.com
25+ REPAIR CENTER INC,25LR,DBA LEKI TECH,25LR519D,14251 NW 4TH ST,,,SUNRISE,FL,UNITED STATES,33325,,,"KJELDSEN, PETER",9549181442,peterk@lekiaviation.com,ALEXANDER GONZOLEZ,9547491503,alexanderg@lekitech.com,Limited,,,,,,,"EASA, United Kingdom",3/9/2026,
"360 AEROSPACE, LLC",360R,DBA SATTO REPAIR CENTER USA,360R933D,3011 NW 75TH. AVENUE,SUITE B,,MIAMI,FL,UNITED STATES,33122,9543684904,gbatista@360aerospace.com,"VAZQUEZ, DAYRON",9543684904,gbatista@360aerospace.com,DAYRON VAZQUEZ,7869131244,dvazquez@360aerospace.com,Limited,,,,,,,EASA,3/9/2026,gbatista@360aerospace.com
630 AEROSPACE INC,SYTR,,SYTR070K,13930 NW 60TH. AVENUE,,,MIAMI LAKES,FL,UNITED STATES,33014,7542083737,asomar@630aerospace.com,"SOMAR, ANDREW",7542083737,asomar@630aerospace.com,"SOMAR, ANDREW",7542083737,asomar@630aerospace.com,Limited,Limited,,,Limited,,,"EASA, United Kingdom",3/9/2026,asomar@630aerospace.com
630 AEROSPACE LDA,AR0Y,,AR0Y608E,RUA REAL FABRICA DE ATANADOS NO  6,,,VILA FRANCA DE XIRA,,PORTUGAL,2600-242,+19543948644,asomar@630aerospace.com,"SOMAR, ANDREW",(954) 394.8644,asomar@630aerospace.com,,,,,Limited,,,Class 3,,,,3/9/2026,asomar@630aerospace.com
702 HELICOPTER LLC,7HER,,7HER154C,2634 AIRPORT DRIVE,SUITE 101,,NORTH LAS VEGAS,NV,UNITED STATES,89032,7023389393,info@702helicopters.com,"LORENZ, BIANCA",7025083288,,"LORENZ,  BRIAN",7023389393,info@702helicopters.com,,Limited,Limited,,Limited,,Limited,,3/9/2026,info@702helicopters.com
"5280 AVIATION SALES, LLC",7AKR,DBA STELLA AIR,7AKR665D,"1685 S, LITCHFIELD ROAD",HANGER18,,GOODYEAR,AZ,UNITED STATES,85338,,,"ARISMENDEZ, JOE",,,"ARISMENDEZ, JOE",7207397246,ja@galaxyinternational.com,Limited,Limited,Limited,SpecializedService,,,Limited,,3/9/2026,
A & S HELICOPTERS INC,SI2R,,SI2R162L,3300 VECTOR DRIVE,,,CAHOKIA HEIGHTS,IL,UNITED STATES,62206,,,"BORTSCHELLER, STEVEN",,,"BORTSCHELLER, STEVEN J",6183372600,,,"Class 1, Class 3",,,Limited,,,,3/9/2026,
A AND R AVIATION SERVICES INC,2AAR,DBA A & R AVIATION SERVICES,2AAR048B,7915 OLD HIGHWAY 99 SE,,,TUMWATER,WA,UNITED STATES,98501,3602369928,ronhix@aravservices.com,"HIX, RONNIE",,,,,,Limited,Limited,,"Equipment, NonDestructiveTst",Limited,,,"EASA, United Kingdom",3/9/2026,ronhix@aravservices.com
A GOLDEN REPAIR,4B1R,,4B1R096D,674 HAUL ROAD,,,CLINTON,PA,UNITED STATES,15026,,agoldenrepair@gmail.com,"BRESSO, DARRYL",,agoldenrepair@gmail.com,"BRESSO, DARRYL L.",7248992829,agoldenrepair@gmail.com,,Limited,,,,,,,3/9/2026,agoldenrepair@gmail.com
A H ELECTRONICS LTD.,HCNR,,HCNR246K,5600 AIR CARGO RD,,,OKLAHOMA CITY,OK,UNITED STATES,73137,,,"SPRAGUE, ERIC",,,"SPRAGUE, ERIC",4053196428,eric.m.sprague@cbp.dhs.gov,,,,,,,Limited,,3/9/2026,
